r,τ,a,b,τ_σ,a_σ,b_σ
0.040268456375838924,0.0,1.0,-0.7077208138332205,0.0,0.0,0.34924967580279287
0.1476510067114094,0.017324886171966706,1.038509954817958,-0.7424115255354284,0.09200619735124344,0.06702947251334242,0.3626428900098658
0.2550335570469799,0.05597121628565134,1.0534739433119427,-0.8598971940171769,0.09154651096711668,0.0683414632444898,0.36801688792565623
0.3624161073825503,0.12178446227137711,1.0624977118203975,-1.051313455584311,0.0911338994407432,0.07017372667613507,0.371440100200657
0.4697986577181208,0.21093817136819332,1.0656717664119146,-1.3043736990180244,0.08291750390780235,0.07318877216559183,0.37294937398005235
0.5771812080536913,0.33785593647001394,1.065288204789533,-1.5872367986631923,0.08054472250386459,0.07738367607606565,0.3733004351680039
0.6845637583892618,0.4904845896904397,1.0640016360774536,-1.8712759841813804,0.0820821679095383,0.08284232437022078,0.3735231128586078
0.7919463087248322,0.6469418703514294,1.059799985697162,-2.137879329983767,0.08614064319627557,0.0890544020352387,0.3729103040893735
0.8993288590604027,0.7876495173281235,1.053930014819984,-2.3828690820190706,0.09674575569306068,0.09677154931499825,0.372313375822724
1.0067114093959733,0.8942483577938465,1.0378610741724863,-2.6113868607389206,0.10868320757745993,0.10642623729157318,0.3685651692028305
1.1140939597315436,0.9938957951269363,1.0043050260868105,-2.804655559580717,0.11443007635439972,0.11700811589213235,0.3590515539699882
1.221476510067114,1.0663073210233123,0.9529542302265486,-2.9600261419676617,0.12689416300361603,0.1272372794965003,0.3440667189521716
1.3288590604026846,1.1578037804009698,0.8972719635098807,-3.063707765097152,0.13655013637634764,0.13663972712487146,0.3275496749886885
1.436241610738255,1.228509022573121,0.8502835216194512,-3.1175620149678687,0.1497273683222535,0.1431431460200739,0.31368526466711905
1.5436241610738255,1.3268538283772409,0.823847571284291,-3.1336465784314917,0.1689064505847269,0.1446782581242737,0.3054975772522971
1.651006711409396,1.4367258075003349,0.8064488577743281,-3.136692513184494,0.17999774429026574,0.14248502376522681,0.29970183676476764
1.7583892617449663,1.5076064353443985,0.8017422736864618,-3.1644972363716715,0.1942520315475683,0.14355252746159347,0.29825678546785145
1.8657718120805369,1.6237676865828086,0.7932514415474906,-3.212721401873554,0.22432456339423676,0.1449252163054477,0.2966072162088565
1.9731543624161074,1.7483564703211767,0.7844615057229499,-3.2939243206798436,0.26669686099701373,0.15046609893246427,0.2967843243422484
2.0805369127516777,1.8258201495690978,0.7604662958462064,-3.409603167093896,0.32096093845258356,0.16071799894350494,0.2938191238467215
2.1879194630872485,2.094464761910702,0.7297180646778945,-3.5104618874271885,0.32329198887341176,0.1797617808966902,0.2865407163289125
2.295302013422819,2.4146415963083325,0.710724495916265,-3.6387382034123914,0.29746241082414715,0.2145116113351948,0.28273035387666834
2.402684563758389,2.5640896461927793,0.6628475220064021,-3.8216499499742627,0.34515579198378327,0.25343288324324403,0.28156820700055624
2.51006711409396,2.689274111885813,0.5853858144848849,-4.0273913015048715,0.5203890825383523,0.30859009694716266,0.2836542896945519
2.61744966442953,2.733930801676112,0.536304465343106,-4.26960467719943,0.7385577712314397,0.3662575053928176,0.3056530802881234
2.7248322147651005,2.6874458582016896,0.4033124091125985,-4.489656767347677,1.228634660217096,0.44895095593088963,0.3216752036678651
2.8322147651006713,2.602605828165987,0.255947503589096,-4.6614840545805,2.3984978332063314,0.5327497049058254,0.3469291648555493
2.9395973154362416,2.576662810216242,0.17853531113854812,-4.7630516235507265,3.6989913313818676,0.5169864383443337,0.3690206596153841
